text@ip1970m	@ip1970m	88.942	98.022	ну вот когда Сектор был в Таллине на фестивале Рок-саммер / эээ ты вообще ощущал то что // эстонцы / плохо относятся к нам к русским?
text@ip1970m	@ip1970m	101.862	103.312	ну нужны мы Эстонии //
text@ip1970m	@ip1970m	105.79	106.04	а //
text@ip1970m	@ip1970m	115.262	123.342	ты вот щас такой у нас стал / ну не тот / Юра // солист группы Сектор газа который был / лет пять шесть семь тому назад //
text@ip1970m	@ip1970m	123.352	130.571	ааа у тебя солидная тачка / у тебя нормальная квартира / дома телефон газ свет / горячая вода / вот эээ /
text@ip1970m	@ip1970m	130.571	132.681	и / как твоя семейная-то жизнь?
text@ip1970m	@ip1970m	132.876	138.716	ну одолевают все-таки поклонницы как там жена к этому делу относится / как ребенок который растет вовсю?
text@ip1970m	@ip1970m	165.011	168.32	да какая ж тут музыка / жена вокалистка уже //
text@ip1970m	@ip1970m	175.11	177.17	дочь-то поет песни Сектора?
text@ip1970m	@ip1970m	178.49	178.95	да //
text@ip1970m	@ip1970m	180.7	182.11	а чё она любит?
text@ip1970m	@ip1970m	192.305	193.705	ну по стопам папы не пошла //
text@ip1970m	@ip1970m	193.815	201.325	увлечение музыкой эээ такой вот / мрачной / мистической такой вот / стт... страшилками всякими у тебя прошло или продолжается? 
text@ip1970m	@ip1970m	222.485	229.005	в следующих альбомах / что воронежские что все остальные / твои поклонники много мата услышат?
text@ip1970m	@ip1970m	265.39	269.74	ну ты же говоришь мат / ты говоришь мат меньше-меньше а чего больше-больше-то будет?
text@ip1970m	@ip1970m	276.095	288.375	музыкантов вот сейчас которые / эээ / будут участвовать в твоем проекте на студии Гала вот ты / пишешь / эээ / этот сингл / под кодовым названием Туман / вот музыкантов каких ты приглашаешь на запись?
text@ip1970m	@ip1970m	306.22	308.06	ну называться-то будете Сектор газа?
text@ip1970m	@ip1970m	317.665	319.505	ну фанеру ты судя по всему не любишь // 
text@ip1970m	@ip1970m	322.385	324.055	ну прям уж никогда а на съемках?
text@ip1970m	@ip1970m	336.175	339.185	а сколько народу было а и Европа Плюс //
text@ip1970m	@ip1970m	343.24	344.33	ничего //
text@ip1970m	@ip1970m	347.48	363.51	вот / мы хотели как раз сказать что девятого сентября день города и / Юру / в полном составе группы Сектор газа / вы увидите на площадке / которую будет снимать эээ / этот концерт будет снимать Сорок первый канал и там же будет / работать эээ / команда из Европы Плюс //
words@yunk1964m	@yunk1964m	12.15	12.398	из
words@yunk1964m	@yunk1964m	12.398	12.646	наших
words@yunk1964m	@yunk1964m	12.646	12.894	рок
words@yunk1964m	@yunk1964m	12.894	13.142	-
words@yunk1964m	@yunk1964m	13.142	13.39	музыкантов
words@yunk1964m	@yunk1964m	13.39	13.64	?
words@yunk1964m	@yunk1964m	17.205	17.527	ну
words@yunk1964m	@yunk1964m	17.527	17.849	из
